日期,时段序号,时间段,电价(元/kWh说明),电价(元/kWh),小区负载(kW),光伏功率(kW),负载电量(kWh),光伏电量(kWh),净负荷(kWh),计划购电量(kWh),实际购电量(kWh),紧急购电量(kWh),充电量(kWh),放电量(kWh),弃光电量(kWh),时段末储电量(kWh),该时段购电费(元)
2025-02-01,19,3:00-3:10,附件1单日曲线,0.437400,2900.397300,0.000000,483.399550,0.000000,483.399550,483.399550,483.399550,0.000000,0.000000,0.000000,0.000000,8568.509463,211.438963
2025-02-01,20,3:10-3:20,附件1单日曲线,0.437100,2919.611500,0.000000,486.601917,0.000000,486.601917,486.601917,486.601917,0.000000,0.000000,0.000000,0.000000,8568.509463,212.693698
2025-02-01,21,3:20-3:30,附件1单日曲线,0.435600,2993.090000,0.000000,498.848333,0.000000,498.848333,498.848333,498.848333,0.000000,0.000000,0.000000,0.000000,8568.509463,217.298334
2025-02-01,22,3:30-3:40,附件1单日曲线,0.435300,3109.858400,0.000000,518.309733,0.000000,518.309733,518.309733,518.309733,0.000000,0.000000,0.000000,0.000000,8568.509463,225.620227
2025-02-01,23,3:40-3:50,附件1单日曲线,0.436000,3054.800800,0.000000,509.133467,0.000000,509.133467,509.133467,509.133467,0.000000,0.000000,0.000000,0.000000,8568.509463,221.982191
2025-02-01,24,3:50-4:00,附件1单日曲线,0.437800,2901.700000,0.000000,483.616667,0.000000,483.616667,483.616667,483.616667,0.000000,0.000000,0.000000,0.000000,8568.509463,211.727377
2025-02-01,25,4:00-4:10,附件1单日曲线,0.440100,2947.120800,0.000000,491.186800,0.000000,491.186800,491.186800,491.186800,0.000000,0.000000,0.000000,0.000000,8568.509463,216.171311
2025-02-01,26,4:10-4:20,附件1单日曲线,0.438900,3027.871700,0.000000,504.645283,0.000000,504.645283,504.645283,504.645283,0.000000,0.000000,0.000000,0.000000,8568.509463,221.488815
2025-02-01,27,4:20-4:30,附件1单日曲线,0.436400,3033.470000,0.000000,505.578333,0.000000,505.578333,505.578333,505.578333,0.000000,0.000000,0.000000,0.000000,8568.509463,220.634385
2025-02-01,28,4:30-4:40,附件1单日曲线,0.439300,3019.385800,0.000000,503.230967,0.000000,503.230967,503.230967,503.230967,0.000000,0.000000,0.000000,0.000000,8568.509463,221.069364
2025-02-01,29,4:40-4:50,附件1单日曲线,0.442200,3017.081900,0.001400,502.846983,0.000233,502.846750,502.846750,502.846750,0.000000,0.000000,0.000000,0.000000,8568.509463,222.358833
2025-02-01,30,4:50-5:00,附件1单日曲线,0.439500,2997.850000,0.000000,499.641667,0.000000,499.641667,499.641667,499.641667,0.000000,0.000000,0.000000,0.000000,8568.509463,219.592512
2025-02-01,31,5:00-5:10,附件1单日曲线,0.433300,2932.701500,0.000000,488.783583,0.000000,488.783583,488.783583,488.783583,0.000000,0.000000,0.000000,0.000000,8568.509463,211.789927
2025-02-01,32,5:10-5:20,附件1单日曲线,0.443900,2991.112500,0.019900,498.518750,0.003317,498.515433,498.515433,498.515433,0.000000,0.000000,0.000000,0.000000,8568.509463,221.291001
2025-02-01,33,5:20-5:30,附件1单日曲线,0.430100,3175.340000,0.000000,529.223333,0.000000,529.223333,529.223333,529.223333,0.000000,0.000000,0.000000,0.000000,8568.509463,227.618956
2025-02-01,34,5:30-5:40,附件1单日曲线,0.371300,3284.461900,0.000000,547.410317,0.000000,547.410317,1380.743650,1380.743650,0.000000,833.333333,0.000000,0.000000,9318.509463,512.670117
2025-02-01,35,5:40-5:50,附件1单日曲线,0.570800,3187.364400,0.277400,531.227400,0.046233,531.181167,0.000000,0.000000,0.000000,0.000000,531.181167,0.000000,8728.308167,0.000000
2025-02-01,36,5:50-6:00,附件1单日曲线,0.909900,3065.900000,0.000000,510.983333,0.000000,510.983333,0.000000,0.000000,0.000000,0.000000,510.983333,0.000000,8160.548907,0.000000
2025-02-01,37,6:00-6:10,附件1单日曲线,0.936800,3211.123100,0.000000,535.187183,0.000000,535.187183,0.000000,0.000000,0.000000,0.000000,535.187183,0.000000,7565.896481,0.000000
2025-02-01,38,6:10-6:20,附件1单日曲线,0.875800,3203.996100,3.864100,533.999350,0.644017,533.355333,0.000000,0.000000,0.000000,0.000000,533.355333,0.000000,6973.279444,0.000000
2025-02-01,39,6:20-6:30,附件1单日曲线,0.875900,3027.120000,0.000000,504.520000,0.000000,504.520000,0.000000,0.000000,0.000000,0.000000,504.520000,0.000000,6412.701667,0.000000
2025-02-01,40,6:30-6:40,附件1单日曲线,0.860100,3117.322100,0.000000,519.553683,0.000000,519.553683,0.000000,0.000000,0.000000,0.000000,519.553683,0.000000,5835.419796,0.000000
2025-02-01,41,6:40-6:50,附件1单日曲线,0.844200,3398.490000,89.609500,566.415000,14.934917,551.480083,0.000000,0.000000,0.000000,0.000000,551.480083,0.000000,5222.664148,0.000000
2025-02-01,42,6:50-7:00,附件1单日曲线,0.833400,3652.750000,340.500000,608.791667,56.750000,552.041667,0.000000,0.000000,0.000000,0.000000,552.041667,0.000000,4609.284519,0.000000
2025-02-01,43,7:00-7:10,附件1单日曲线,0.809200,3703.284300,615.936000,617.214050,102.656000,514.558050,0.000000,0.000000,0.000000,0.000000,514.558050,0.000000,4037.553352,0.000000
2025-02-01,44,7:10-7:20,附件1单日曲线,0.797200,3572.378800,884.927500,595.396467,147.487917,447.908550,0.000000,0.000000,0.000000,0.000000,447.908550,0.000000,3539.877185,0.000000
2025-02-01,45,7:20-7:30,附件1单日曲线,0.764400,3477.220000,1140.675000,579.536667,190.112500,389.424167,0.000000,0.000000,0.000000,0.000000,389.424167,0.000000,3107.183667,0.000000
2025-02-01,46,7:30-7:40,附件1单日曲线,0.689900,3654.002200,1388.079700,609.000367,231.346617,377.653750,0.000000,0.000000,0.000000,0.000000,377.653750,0.000000,2687.568389,0.000000
2025-02-01,47,7:40-7:50,附件1单日曲线,0.860000,3841.420100,1674.452000,640.236683,279.075333,361.161350,0.000000,0.000000,0.000000,0.000000,361.161350,0.000000,2286.278000,0.000000
2025-02-01,48,7:50-8:00,附件1单日曲线,1.161700,3803.650000,2004.112500,633.941667,334.018750,299.922917,0.000000,0.000000,0.000000,0.000000,299.922917,0.000000,1953.030315,0.000000
2025-02-01,49,8:00-8:10,附件1单日曲线,1.168300,3545.463900,2332.106500,590.910650,388.684417,202.226233,0.000000,0.000000,0.000000,0.000000,202.226233,0.000000,1728.334500,0.000000
2025-02-01,50,8:10-8:20,附件1单日曲线,1.095600,3411.349000,2632.593400,568.558167,438.765567,129.792600,0.000000,0.000000,0.000000,0.000000,129.792600,0.000000,1584.120500,0.000000
2025-02-01,51,8:20-8:30,附件1单日曲线,1.084900,3445.370000,2927.662500,574.228333,487.943750,86.284583,0.000000,0.000000,0.000000,0.000000,86.284583,0.000000,1488.248741,0.000000
2025-02-01,52,8:30-8:40,附件1单日曲线,1.061000,3467.113900,3251.299000,577.852317,541.883167,35.969150,0.000000,0.000000,0.000000,0.000000,35.969150,0.000000,1448.283019,0.000000
2025-02-01,53,8:40-8:50,附件1单日曲线,1.043000,3894.480200,3519.756600,649.080033,586.626100,62.453933,0.000000,0.000000,0.000000,0.000000,62.453933,0.000000,1378.889759,0.000000
2025-02-01,54,8:50-9:00,附件1单日曲线,1.036000,4422.760000,3731.700000,737.126667,621.950000,115.176667,0.000000,0.000000,0.000000,0.000000,115.176667,0.000000,1250.915685,0.000000
2025-02-01,55,9:00-9:10,附件1单日曲线,1.014700,4267.520500,3992.575800,711.253417,665.429300,45.824117,0.000000,0.000000,0.000000,0.000000,45.824117,0.000000,1200.000000,0.000000
2025-02-01,56,9:10-9:20,附件1单日曲线,0.992200,4190.170200,4378.333200,698.361700,729.722200,-31.360500,0.000000,0.000000,0.000000,31.360500,0.000000,0.000000,1228.224450,0.000000
2025-02-01,57,9:20-9:30,附件1单日曲线,0.970000,4418.320000,4788.525000,736.386667,798.087500,-61.700833,0.000000,0.000000,0.000000,61.700833,0.000000,0.000000,1283.755200,0.000000
2025-02-01,58,9:30-9:40,附件1单日曲线,0.942200,4399.275400,5029.924100,733.212567,838.320683,-105.108117,0.000000,0.000000,0.000000,105.108117,0.000000,0.000000,1378.352505,0.000000
2025-02-01,59,9:40-9:50,附件1单日曲线,0.956900,4182.734200,5203.917700,697.122367,867.319617,-170.197250,0.000000,0.000000,0.000000,170.197250,0.000000,0.000000,1531.530030,0.000000
2025-02-01,60,9:50-10:00,附件1单日曲线,0.997700,4071.530000,5364.112500,678.588333,894.018750,-215.430417,0.000000,0.000000,0.000000,215.430417,0.000000,0.000000,1725.417405,0.000000
2025-02-01,61,10:00-10:10,附件1单日曲线,0.991900,4268.593200,5471.099000,711.432200,911.849833,-200.417633,0.000000,0.000000,0.000000,200.417633,0.000000,0.000000,1905.793275,0.000000
2025-02-01,62,10:10-10:20,附件1单日曲线,0.958800,4240.242300,5601.763400,706.707050,933.627233,-226.920183,0.000000,0.000000,0.000000,226.920183,0.000000,0.000000,2110.021440,0.000000
2025-02-01,63,10:20-10:30,附件1单日曲线,0.954900,4001.960000,5755.312500,666.993333,959.218750,-292.225417,0.000000,0.000000,0.000000,292.225417,0.000000,0.000000,2373.024315,0.000000
2025-02-01,64,10:30-10:40,附件1单日曲线,0.983900,4072.322600,5878.849000,678.720433,979.808167,-301.087733,0.000000,0.000000,0.000000,301.087733,0.000000,0.000000,2644.003275,0.000000
2025-02-01,65,10:40-10:50,附件1单日曲线,0.799000,4068.783000,6128.087400,678.130500,1021.347900,-343.217400,0.000000,0.000000,0.000000,343.217400,0.000000,0.000000,2952.898935,0.000000
2025-02-01,66,10:50-11:00,附件1单日曲线,0.502500,3917.550000,6361.650000,652.925000,1060.275000,-407.350000,0.000000,0.000000,0.000000,407.350000,0.000000,0.000000,3319.513935,0.000000
2025-02-01,67,11:00-11:10,附件1单日曲线,0.466200,3946.166100,6277.066900,657.694350,1046.177817,-388.483467,0.000000,0.000000,0.000000,388.483467,0.000000,0.000000,3669.149055,0.000000
2025-02-01,68,11:10-11:20,附件1单日曲线,0.500700,3936.610300,6308.050700,656.101717,1051.341783,-395.240067,0.000000,0.000000,0.000000,395.240067,0.000000,0.000000,4024.865115,0.000000
2025-02-01,69,11:20-11:30,附件1单日曲线,0.482700,3927.210000,6594.375000,654.535000,1099.062500,-444.527500,0.000000,0.000000,0.000000,444.527500,0.000000,0.000000,4424.939865,0.000000
2025-02-01,70,11:30-11:40,附件1单日曲线,0.478500,4153.251300,6817.893900,692.208550,1136.315650,-444.107100,0.000000,0.000000,0.000000,444.107100,0.000000,0.000000,4824.636255,0.000000
2025-02-01,71,11:40-11:50,附件1单日曲线,0.466200,4080.896900,6770.500900,680.149483,1128.416817,-448.267333,0.000000,0.000000,0.000000,448.267333,0.000000,0.000000,5228.076855,0.000000
2025-02-01,72,11:50-12:00,附件1单日曲线,0.443200,3840.200000,6603.937500,640.033333,1100.656250,-460.622917,0.000000,0.000000,0.000000,460.622917,0.000000,0.000000,5642.637480,0.000000
2025-02-01,73,12:00-12:10,附件1单日曲线,0.441100,4061.048300,6632.899200,676.841383,1105.483200,-428.641817,0.000000,0.000000,0.000000,428.641817,0.000000,0.000000,6028.415115,0.000000
2025-02-01,74,12:10-12:20,附件1单日曲线,0.455100,3978.562800,6536.886400,663.093800,1089.481067,-426.387267,0.000000,0.000000,0.000000,426.387267,0.000000,0.000000,6412.163655,0.000000
2025-02-01,75,12:20-12:30,附件1单日曲线,0.446300,3564.130000,6314.475000,594.021667,1052.412500,-458.390833,0.000000,0.000000,0.000000,458.390833,0.000000,0.000000,6824.715405,0.000000
2025-02-01,76,12:30-12:40,附件1单日曲线,0.411300,3606.685000,6312.586600,601.114167,1052.097767,-450.983600,194.664783,194.664783,0.000000,645.648383,0.000000,0.000000,7405.798950,80.065625
2025-02-01,77,12:40-12:50,附件1单日曲线,0.568200,3800.012200,6353.938500,633.335367,1058.989750,-425.654383,0.000000,0.000000,0.000000,425.654383,0.000000,0.000000,7788.887895,0.000000
2025-02-01,78,12:50-13:00,附件1单日曲线,0.827900,3832.090000,6313.350000,638.681667,1052.225000,-413.543333,0.000000,0.000000,0.000000,413.543333,0.000000,0.000000,8161.076895,0.000000
2025-02-01,79,13:00-13:10,附件1单日曲线,0.863600,3716.245400,6246.137500,619.374233,1041.022917,-421.648683,0.000000,0.000000,0.000000,421.648683,0.000000,0.000000,8540.560710,0.000000
2025-02-01,80,13:10-13:20,附件1单日曲线,0.841600,3639.026400,6175.373000,606.504400,1029.228833,-422.724433,0.000000,0.000000,0.000000,422.724433,0.000000,0.000000,8921.012700,0.000000
2025-02-01,81,13:20-13:30,附件1单日曲线,0.861800,3642.080000,6103.687500,607.013333,1017.281250,-410.267917,0.000000,0.000000,0.000000,410.267917,0.000000,0.000000,9290.253825,0.000000
2025-02-01,82,13:30-13:40,附件1单日曲线,0.862300,3637.910000,5992.764300,606.318333,998.794050,-392.475717,0.000000,0.000000,0.000000,392.475717,0.000000,0.000000,9643.481970,0.000000
2025-02-01,83,13:40-13:50,附件1单日曲线,0.902600,3749.563300,5691.806100,624.927217,948.634350,-323.707133,0.000000,0.000000,0.000000,323.707133,0.000000,0.000000,9934.818390,0.000000
2025-02-01,84,13:50-14:00,附件1单日曲线,0.975400,3849.870000,5251.125000,641.645000,875.187500,-233.542500,0.000000,0.000000,0.000000,233.542500,0.000000,0.000000,10145.006640,0.000000
2025-02-01,85,14:00-14:10,附件1单日曲线,1.000200,3676.340300,4893.740500,612.723383,815.623417,-202.900033,0.000000,0.000000,0.000000,202.900033,0.000000,0.000000,10327.616670,0.000000
2025-02-01,86,14:10-14:20,附件1单日曲线,0.997800,3619.606500,4617.219400,603.267750,769.536567,-166.268817,0.000000,0.000000,0.000000,166.268817,0.000000,0.000000,10477.258605,0.000000
2025-02-01,87,14:20-14:30,附件1单日曲线,1.027100,3664.870000,4364.400000,610.811667,727.400000,-116.588333,0.000000,0.000000,0.000000,116.588333,0.000000,0.000000,10582.188105,0.000000
2025-02-01,88,14:30-14:40,附件1单日曲线,1.090600,3429.738500,4104.404400,571.623083,684.067400,-112.444317,0.000000,0.000000,0.000000,112.444317,0.000000,0.000000,10683.387990,0.000000
2025-02-01,89,14:40-14:50,附件1单日曲线,0.937600,3327.565200,3890.168600,554.594200,648.361433,-93.767233,0.000000,0.000000,0.000000,93.767233,0.000000,0.000000,10767.778500,0.000000
2025-02-01,90,14:50-15:00,附件1单日曲线,0.669400,3473.540000,3688.350000,578.923333,614.725000,-35.801667,0.000000,0.000000,0.000000,35.801667,0.000000,0.000000,10800.000000,0.000000
2025-02-01,91,15:00-15:10,附件1单日曲线,0.660000,3562.932000,3392.357100,593.822000,565.392850,28.429150,28.429150,28.429150,0.000000,0.000000,0.000000,0.000000,10800.000000,18.763239
2025-02-01,92,15:10-15:20,附件1单日曲线,0.721700,3620.220200,3032.615800,603.370033,505.435967,97.934067,97.934067,97.934067,0.000000,0.000000,0.000000,0.000000,10800.000000,70.679016
2025-02-01,93,15:20-15:30,附件1单日曲线,0.730800,3651.930000,2703.825000,608.655000,450.637500,158.017500,158.017500,158.017500,0.000000,0.000000,0.000000,0.000000,10800.000000,115.479189
2025-02-01,94,15:30-15:40,附件1单日曲线,0.753400,3580.731900,2481.769800,596.788650,413.628300,183.160350,183.160350,183.160350,0.000000,0.000000,0.000000,0.000000,10800.000000,137.993008
2025-02-01,95,15:40-15:50,附件1单日曲线,0.782300,3420.665700,2255.837400,570.110950,375.972900,194.138050,194.138050,194.138050,0.000000,0.000000,0.000000,0.000000,10800.000000,151.874197
2025-02-01,96,15:50-16:00,附件1单日曲线,0.805500,3292.500000,1973.587500,548.750000,328.931250,219.818750,219.818750,219.818750,0.000000,0.000000,0.000000,0.000000,10800.000000,177.064003
2025-02-01,97,16:00-16:10,附件1单日曲线,0.827100,3324.494400,1687.044300,554.082400,281.174050,272.908350,272.908350,272.908350,0.000000,0.000000,0.000000,0.000000,10800.000000,225.722496
2025-02-01,98,16:10-16:20,附件1单日曲线,0.851900,3354.216400,1442.649100,559.036067,240.441517,318.594550,318.594550,318.594550,0.000000,0.000000,0.000000,0.000000,10800.000000,271.410697
2025-02-01,99,16:20-16:30,附件1单日曲线,0.879100,3378.640000,1214.175000,563.106667,202.362500,360.744167,360.744167,360.744167,0.000000,0.000000,0.000000,0.000000,10800.000000,317.130197
2025-02-01,100,16:30-16:40,附件1单日曲线,0.902400,3481.717800,933.114200,580.286300,155.519033,424.767267,424.767267,424.767267,0.000000,0.000000,0.000000,0.000000,10800.000000,383.309981
2025-02-01,101,16:40-16:50,附件1单日曲线,0.916300,3196.908100,640.268800,532.818017,106.711467,426.106550,426.106550,426.106550,0.000000,0.000000,0.000000,0.000000,10800.000000,390.441432
2025-02-01,102,16:50-17:00,附件1单日曲线,0.926400,2680.680000,358.237500,446.780000,59.706250,387.073750,387.073750,387.073750,0.000000,0.000000,0.000000,0.000000,10800.000000,358.585122
2025-02-01,103,17:00-17:10,附件1单日曲线,0.946200,2601.261100,95.384600,433.543517,15.897433,417.646083,417.646083,417.646083,0.000000,0.000000,0.000000,0.000000,10800.000000,395.176724
2025-02-01,104,17:10-17:20,附件1单日曲线,0.974200,2638.684800,0.000000,439.780800,0.000000,439.780800,439.780800,439.780800,0.000000,0.000000,0.000000,0.000000,10800.000000,428.434455
2025-02-01,105,17:20-17:30,附件1单日曲线,0.986200,2616.820000,0.000000,436.136667,0.000000,436.136667,436.136667,436.136667,0.000000,0.000000,0.000000,0.000000,10800.000000,430.117981
2025-02-01,106,17:30-17:40,附件1单日曲线,0.976000,2675.971000,4.136700,445.995167,0.689450,445.305717,445.305717,445.305717,0.000000,0.000000,0.000000,0.000000,10800.000000,434.618379
2025-02-01,107,17:40-17:50,附件1单日曲线,1.074200,2639.355800,0.000000,439.892633,0.000000,439.892633,0.000000,0.000000,0.000000,0.000000,439.892633,0.000000,10311.230407,0.000000
2025-02-01,108,17:50-18:00,附件1单日曲线,1.231300,2570.820000,0.000000,428.470000,0.000000,428.470000,0.000000,0.000000,0.000000,0.000000,428.470000,0.000000,9835.152630,0.000000
2025-02-01,109,18:00-18:10,附件1单日曲线,1.256100,2725.107300,0.297000,454.184550,0.049500,454.135050,0.000000,0.000000,0.000000,0.000000,454.135050,0.000000,9330.558130,0.000000
2025-02-01,110,18:10-18:20,附件1单日曲线,1.244700,2833.591900,0.000000,472.265317,0.000000,472.265317,0.000000,0.000000,0.000000,0.000000,472.265317,0.000000,8805.818889,0.000000
2025-02-01,111,18:20-18:30,附件1单日曲线,1.254500,2725.010000,0.000000,454.168333,0.000000,454.168333,0.000000,0.000000,0.000000,0.000000,454.168333,0.000000,8301.187407,0.000000
2025-02-01,112,18:30-18:40,附件1单日曲线,1.252200,2510.257100,0.021300,418.376183,0.003550,418.372633,0.000000,0.000000,0.000000,0.000000,418.372633,0.000000,7836.328926,0.000000
2025-02-01,113,18:40-18:50,附件1单日曲线,1.288100,2484.493400,0.000000,414.082233,0.000000,414.082233,0.000000,0.000000,0.000000,0.000000,414.082233,0.000000,7376.237556,0.000000
2025-02-01,114,18:50-19:00,附件1单日曲线,1.346600,2592.830000,0.000000,432.138333,0.000000,432.138333,0.000000,0.000000,0.000000,0.000000,432.138333,0.000000,6896.083852,0.000000
2025-02-01,115,19:00-19:10,附件1单日曲线,1.352300,2544.086200,0.001500,424.014367,0.000250,424.014117,0.000000,0.000000,0.000000,0.000000,424.014117,0.000000,6424.957056,0.000000
2025-02-01,116,19:10-19:20,附件1单日曲线,1.344500,2654.474800,0.000000,442.412467,0.000000,442.412467,0.000000,0.000000,0.000000,0.000000,442.412467,0.000000,5933.387648,0.000000
2025-02-01,117,19:20-19:30,附件1单日曲线,1.348300,2902.480000,0.000000,483.746667,0.000000,483.746667,0.000000,0.000000,0.000000,0.000000,483.746667,0.000000,5395.891352,0.000000
2025-02-01,118,19:30-19:40,附件1单日曲线,1.349000,2887.106800,0.000000,481.184467,0.000000,481.184467,0.000000,0.000000,0.000000,0.000000,481.184467,0.000000,4861.241944,0.000000
2025-02-01,119,19:40-19:50,附件1单日曲线,1.347300,2668.595600,0.000000,444.765933,0.000000,444.765933,0.000000,0.000000,0.000000,0.000000,444.765933,0.000000,4367.057574,0.000000
2025-02-01,120,19:50-20:00,附件1单日曲线,1.348200,2508.570000,0.000000,418.095000,0.000000,418.095000,0.000000,0.000000,0.000000,0.000000,418.095000,0.000000,3902.507574,0.000000
2025-02-01,121,20:00-20:10,附件1单日曲线,1.351300,2620.443100,0.000000,436.740517,0.000000,436.740517,0.000000,0.000000,0.000000,0.000000,436.740517,0.000000,3417.240333,0.000000
2025-02-01,122,20:10-20:20,附件1单日曲线,1.340000,2716.187100,0.000000,452.697850,0.000000,452.697850,0.000000,0.000000,0.000000,0.000000,452.697850,0.000000,2914.242722,0.000000
2025-02-01,123,20:20-20:30,附件1单日曲线,1.348900,2699.810000,0.000000,449.968333,0.000000,449.968333,0.000000,0.000000,0.000000,0.000000,449.968333,0.000000,2414.277907,0.000000
2025-02-01,124,20:30-20:40,附件1单日曲线,1.395200,2730.400200,0.000000,455.066700,0.000000,455.066700,0.000000,0.000000,0.000000,0.000000,455.066700,0.000000,1908.648241,0.000000
2025-02-01,125,20:40-20:50,附件1单日曲线,1.222600,2724.074200,0.000000,454.012367,0.000000,454.012367,0.000000,0.000000,0.000000,0.000000,454.012367,0.000000,1404.190056,0.000000
2025-02-01,126,20:50-21:00,附件1单日曲线,0.933200,2756.430000,0.000000,459.405000,0.000000,459.405000,459.405000,459.405000,0.000000,0.000000,0.000000,0.000000,1404.190056,428.716746
2025-02-01,127,21:00-21:10,附件1单日曲线,0.906800,2984.524600,0.000000,497.420767,0.000000,497.420767,497.420767,497.420767,0.000000,0.000000,0.000000,0.000000,1404.190056,451.061151
2025-02-01,128,21:10-21:20,附件1单日曲线,0.937100,3019.698800,0.000000,503.283133,0.000000,503.283133,503.283133,503.283133,0.000000,0.000000,0.000000,0.000000,1404.190056,471.626624
2025-02-01,129,21:20-21:30,附件1单日曲线,0.937100,2865.340000,0.000000,477.556667,0.000000,477.556667,477.556667,477.556667,0.000000,0.000000,0.000000,0.000000,1404.190056,447.518352
2025-02-01,130,21:30-21:40,附件1单日曲线,0.987100,2874.815700,0.000000,479.135950,0.000000,479.135950,295.364900,295.364900,0.000000,0.000000,183.771050,0.000000,1200.000000,291.554693
2025-02-01,131,21:40-21:50,附件1单日曲线,0.776400,2701.224600,0.000000,450.204100,0.000000,450.204100,450.204100,450.204100,0.000000,0.000000,0.000000,0.000000,1200.000000,349.538463
2025-02-01,132,21:50-22:00,附件1单日曲线,0.420900,2352.510000,0.000000,392.085000,0.000000,392.085000,1225.418333,1225.418333,0.000000,833.333333,0.000000,0.000000,1950.000000,515.778577
2025-02-01,133,22:00-22:10,附件1单日曲线,0.385900,2230.618900,0.000000,371.769817,0.000000,371.769817,1205.103150,1205.103150,0.000000,833.333333,0.000000,0.000000,2700.000000,465.049306
2025-02-01,134,22:10-22:20,附件1单日曲线,0.436800,2181.469300,0.000000,363.578217,0.000000,363.578217,363.578217,363.578217,0.000000,0.000000,0.000000,0.000000,2700.000000,158.810965
2025-02-01,135,22:20-22:30,附件1单日曲线,0.419800,2154.940000,0.000000,359.156667,0.000000,359.156667,1192.490000,1192.490000,0.000000,833.333333,0.000000,0.000000,3450.000000,500.607302
2025-02-01,136,22:30-22:40,附件1单日曲线,0.418600,2292.304300,0.000000,382.050717,0.000000,382.050717,1215.384050,1215.384050,0.000000,833.333333,0.000000,0.000000,4200.000000,508.759763
2025-02-01,137,22:40-22:50,附件1单日曲线,0.424100,2503.010500,0.000000,417.168417,0.000000,417.168417,417.168417,417.168417,0.000000,0.000000,0.000000,0.000000,4200.000000,176.921126
2025-02-01,138,22:50-23:00,附件1单日曲线,0.423700,2590.780000,0.000000,431.796667,0.000000,431.796667,1265.130000,1265.130000,0.000000,833.333333,0.000000,0.000000,4950.000000,536.035581
