口径,日期,购电时间段,购电量(kWh),时段数
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,22:30-23:20,66.559939,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,23:30-23:40,29.572836,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,0:10-1:10,115.708653,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,1:40-2:00,28.476683,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,2:50-3:10,16.612586,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,3:50-4:00,1.153550,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,4:20-4:30,11.209481,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,5:00-6:00,47.870900,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,6:50-7:50,209.387292,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,11:30-12:50,655.744644,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,13:00-13:20,104.424400,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,13:40-15:10,849.454542,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,15:20-15:30,28.497108,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,16:00-16:40,118.301878,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,17:20-18:20,100.794772,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,18:50-19:20,42.423044,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,19:30-19:50,7.500639,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,20:20-20:50,47.147967,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,21:20-21:40,27.042144,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,22:00-22:20,33.545856,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,22:40-23:00,14.992972,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,23:20-23:30,6.134572,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-08,23:40-0:00+1,151.594711,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-09,0:00-0:00+1,46907.287717,144
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,1:10-1:30,25.272233,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,1:50-2:00,7.585867,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,2:20-2:30,14.619231,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,2:40-3:00,24.742594,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,3:30-5:00,225.127475,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,5:40-6:10,237.695381,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,6:20-6:40,33.397239,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,7:50-8:20,244.059886,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,14:40-14:50,9.965353,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,15:30-15:40,6.146353,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,16:00-16:50,91.033911,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,17:00-17:40,253.209306,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,18:40-19:00,39.602944,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,19:30-19:40,3.302175,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,20:20-21:50,295.487200,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,22:30-23:00,27.006492,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-10,23:10-0:00+1,118.119814,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,0:00-0:10,5.919658,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,0:20-0:50,37.090558,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,1:30-2:00,52.185283,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,2:10-3:20,31.652414,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,3:30-3:50,22.318000,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,5:50-6:20,153.578856,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,6:30-6:50,54.140672,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,7:40-10:30,1318.788525,17
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,11:00-13:20,564.849928,14
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,14:10-14:30,9.980256,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,15:00-15:10,15.949967,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,16:30-16:50,24.117056,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,17:00-17:40,271.800350,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,18:10-21:40,312.238381,21
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,22:10-22:30,31.424539,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,22:50-23:00,26.167228,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-11,23:30-23:40,2.479006,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,0:30-1:20,28.683019,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,2:40-2:50,2.304864,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,3:20-5:00,188.205883,10
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,5:40-6:20,180.221656,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,6:40-7:00,14.852128,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,7:40-8:10,217.505361,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,10:30-11:10,93.751269,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,12:50-14:50,736.752278,12
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,15:00-15:50,200.480983,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,16:00-16:30,71.380367,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,16:50-17:40,324.718056,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,18:10-18:50,62.582189,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,19:10-19:30,23.067028,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,19:50-20:00,14.757006,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,20:50-21:40,236.761325,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-12,22:30-23:40,89.547758,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,0:00-0:20,58.388067,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,0:30-2:20,319.898156,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,2:30-2:40,0.413786,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,3:10-4:00,119.664094,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,5:40-6:00,206.517233,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,6:20-6:40,5.963122,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,7:40-8:00,259.179406,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,12:50-13:10,10.049431,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,17:00-17:40,208.205711,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,18:30-18:40,4.118131,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,19:00-19:50,86.016528,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,20:20-20:30,7.070825,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,20:50-21:40,158.845731,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,22:10-23:00,90.456728,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-13,23:20-23:40,31.182683,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,0:30-2:00,161.306517,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,4:40-5:00,44.051567,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,5:20-6:00,72.962317,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,6:40-7:00,52.529100,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,8:40-9:40,182.417983,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,12:00-12:30,65.488050,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,13:10-13:20,21.656969,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,13:50-14:00,31.730153,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,14:30-16:40,494.372272,13
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,18:00-18:20,38.837617,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,18:40-19:00,17.836100,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,19:30-20:00,113.876600,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,20:30-20:40,0.771283,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,20:50-21:40,170.971239,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,22:10-23:20,150.699856,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-15,23:40-0:00+1,164.696089,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-16,0:00-12:50,23696.805156,77
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-16,13:00-13:20,1056.573717,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-16,13:30-0:00+1,18577.552394,63
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,0:50-1:10,6.985992,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,1:30-2:30,127.091867,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,2:50-3:30,50.013372,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,3:40-4:00,29.272961,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,4:10-4:40,48.984800,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,5:40-6:00,209.835522,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,6:40-7:00,26.872922,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,7:50-8:00,170.057356,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,12:10-12:20,45.361739,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,14:20-15:20,165.312522,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,15:30-15:50,11.748939,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,17:00-17:40,232.902156,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,18:10-18:20,2.968536,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,18:30-19:30,115.141233,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,20:00-20:40,68.263778,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,21:00-21:40,217.324750,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-17,22:10-0:00+1,154.142322,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,0:40-1:00,26.097828,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,1:20-1:30,16.256089,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,1:40-2:00,29.997328,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,2:30-2:40,1.572575,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,3:10-3:30,2.907900,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,3:40-4:00,44.667717,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,4:20-5:00,52.324767,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,5:40-6:10,196.530461,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,7:40-9:30,733.193969,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,10:20-11:40,586.179806,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,12:40-14:30,922.125747,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,14:50-15:30,63.187967,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,16:20-16:50,14.250600,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,17:00-17:40,318.754439,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,18:30-18:50,27.876811,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,19:10-19:20,2.392258,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,19:50-20:40,86.019053,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,21:00-21:40,115.055717,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,22:10-22:20,7.448533,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-18,22:50-23:00,13.367717,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,0:40-1:30,86.610142,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,1:40-3:00,232.952383,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,3:20-3:40,28.684867,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,4:40-5:00,74.944928,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,5:50-6:40,272.723211,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,6:50-7:00,46.885803,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,7:40-8:10,291.054681,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,8:20-10:30,991.803939,13
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,14:00-15:50,326.242075,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,16:00-16:20,38.979644,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,17:00-17:40,220.862167,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,18:10-18:20,18.693453,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,18:30-18:50,9.193589,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,19:10-19:30,45.774061,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,19:40-20:10,76.890092,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,20:40-21:50,323.081419,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,22:10-23:10,154.811725,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-19,23:30-0:00+1,136.162883,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,0:00-1:10,193.292592,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,2:50-3:00,3.535136,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,3:30-4:10,83.711000,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,4:40-4:50,16.203208,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,5:40-6:10,207.032622,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,7:40-8:10,343.213606,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,8:20-8:40,29.944583,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,10:00-12:20,1116.340111,14
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,12:50-13:00,39.855697,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,13:20-13:30,11.957078,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,16:50-17:40,390.469764,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,18:10-18:40,87.907258,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,20:00-20:20,26.316906,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,20:50-21:20,82.632050,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,21:30-21:40,32.549578,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,22:10-22:20,1.779464,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-20,22:50-23:10,36.554022,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,0:30-1:20,56.526292,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,1:40-2:10,50.877767,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,2:50-4:10,162.768419,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,5:50-6:00,11.674339,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,6:50-7:00,71.011222,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,8:50-9:50,328.370522,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,10:00-10:20,161.968828,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,10:30-10:50,85.273061,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,11:10-11:30,147.069056,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,11:40-11:50,59.888578,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,12:00-12:50,408.404772,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,13:50-14:10,159.149253,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,14:20-14:50,111.221400,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,15:00-16:40,383.179594,10
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,17:00-17:20,23.451967,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,17:30-18:10,102.096139,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,19:10-20:20,125.704189,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,20:30-20:50,49.375217,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,21:10-21:50,66.209567,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,22:50-23:00,26.538653,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-22,23:40-0:00+1,219.557289,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-23,0:00-11:30,19019.180025,69
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-23,11:40-12:50,2781.698264,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-23,13:00-13:20,724.173717,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-23,13:40-0:00+1,18342.211364,62
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,0:30-0:50,35.524583,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,1:10-1:30,17.998711,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,2:00-2:20,21.559183,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,2:50-3:20,28.181706,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,3:40-4:00,8.056539,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,4:50-5:00,0.727664,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,5:50-6:20,161.083136,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,6:30-6:50,54.983361,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,7:50-8:00,156.677661,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,11:00-11:10,3.486833,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,12:50-13:00,20.348089,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-24,13:20-13:30,44.843411,1
