时段序号,时间段,电价(元/kWh),小区负载(kW),光伏预测功率(kW),负载电量(kWh),光伏电量(kWh),净负荷(kWh),计划购电量(kWh),充电量(kWh),放电量(kWh),弃光电量(kWh),时段末储电量(kWh),该时段购电费(元)
91,15:00-15:10,0.660000,5669.019500,4743.448400,944.836583,790.574733,154.261850,266.732694,112.470844,0.000000,0.000000,10800.000000,176.043578
92,15:10-15:20,0.721700,5656.365100,4471.224000,942.727517,745.204000,197.523517,197.523517,0.000000,0.000000,0.000000,10800.000000,142.552722
93,15:20-15:30,0.730800,5657.086700,4188.202500,942.847783,698.033750,244.814033,244.814033,0.000000,0.000000,0.000000,10800.000000,178.910096
94,15:30-15:40,0.753400,5662.600800,3889.393100,943.766800,648.232183,295.534617,295.534617,0.000000,0.000000,0.000000,10800.000000,222.655780
95,15:40-15:50,0.782300,5669.259600,3594.594600,944.876600,599.099100,345.777500,345.777500,0.000000,0.000000,0.000000,10800.000000,270.501738
96,15:50-16:00,0.805500,5673.476700,3303.887800,945.579450,550.647967,394.931483,394.931483,0.000000,0.000000,0.000000,10800.000000,318.117310
97,16:00-16:10,0.827100,5671.014600,2998.424700,945.169100,499.737450,445.431650,445.431650,0.000000,0.000000,0.000000,10800.000000,368.416518
98,16:10-16:20,0.851900,5661.592600,2687.413100,943.598767,447.902183,495.696583,495.696583,0.000000,0.000000,0.000000,10800.000000,422.283919
99,16:20-16:30,0.879100,5665.892200,2383.177900,944.315367,397.196317,547.119050,547.119050,0.000000,0.000000,0.000000,10800.000000,480.972357
100,16:30-16:40,0.902400,5689.037200,2089.124600,948.172867,348.187433,599.985433,599.985433,0.000000,0.000000,0.000000,10800.000000,541.426855
101,16:40-16:50,0.916300,5603.661400,1791.082900,933.943567,298.513817,635.429750,635.429750,0.000000,0.000000,0.000000,10800.000000,582.244280
102,16:50-17:00,0.926400,5466.712400,1501.728300,911.118733,250.288050,660.830683,660.830683,0.000000,0.000000,0.000000,10800.000000,612.193545
103,17:00-17:10,0.946200,5467.393900,1255.172300,911.232317,209.195383,702.036933,702.036933,0.000000,0.000000,0.000000,10800.000000,664.267346
104,17:10-17:20,0.974200,5464.727000,1036.332300,910.787833,172.722050,738.065783,738.065783,0.000000,0.000000,0.000000,10800.000000,719.023686
105,17:20-17:30,0.986200,5492.445800,836.777500,915.407633,139.462917,775.944717,775.944717,0.000000,0.000000,0.000000,10800.000000,765.236680
106,17:30-17:40,0.976000,5621.730800,665.231300,936.955133,110.871883,826.083250,826.083250,0.000000,0.000000,0.000000,10800.000000,806.257252
107,17:40-17:50,1.074200,5091.212600,516.675800,848.535433,86.112633,762.422800,762.422800,0.000000,0.000000,0.000000,10800.000000,818.994572
108,17:50-18:00,1.231300,4208.568800,386.673100,701.428133,64.445517,636.982617,636.982617,0.000000,0.000000,0.000000,10800.000000,784.316696
109,18:00-18:10,1.256100,4122.761100,275.793300,687.126850,45.965550,641.161300,531.894050,0.000000,109.267250,0.000000,10678.591944,668.112116
110,18:10-18:20,1.244700,4255.935800,182.952600,709.322633,30.492100,678.830533,678.830533,0.000000,0.000000,0.000000,10678.591944,844.940365
111,18:20-18:30,1.254500,4225.952400,108.341400,704.325400,18.056900,686.268500,686.268500,0.000000,0.000000,0.000000,10678.591944,860.923833
112,18:30-18:40,1.252200,4233.338400,54.312100,705.556400,9.052017,696.504383,696.504383,0.000000,0.000000,0.000000,10678.591944,872.162789
113,18:40-18:50,1.288100,4246.462500,18.656900,707.743750,3.109483,704.634267,0.000000,0.000000,704.634267,0.000000,9895.664981,0.000000
114,18:50-19:00,1.346600,4239.179500,0.275300,706.529917,0.045883,706.484033,0.000000,0.000000,706.484033,0.000000,9110.682722,0.000000
115,19:00-19:10,1.352300,4244.668400,0.229600,707.444733,0.038267,707.406467,0.000000,0.000000,707.406467,0.000000,8324.675537,0.000000
116,19:10-19:20,1.344500,4251.918700,0.600700,708.653117,0.100117,708.553000,0.000000,0.000000,708.553000,0.000000,7537.394426,0.000000
117,19:20-19:30,1.348300,4256.681300,0.000000,709.446883,0.000000,709.446883,0.000000,0.000000,709.446883,0.000000,6749.120111,0.000000
118,19:30-19:40,1.349000,4267.394700,0.000000,711.232450,0.000000,711.232450,0.000000,0.000000,711.232450,0.000000,5958.861833,0.000000
119,19:40-19:50,1.347300,4269.975000,0.000000,711.662500,0.000000,711.662500,0.000000,0.000000,711.662500,0.000000,5168.125722,0.000000
120,19:50-20:00,1.348200,4268.670200,0.000000,711.445033,0.000000,711.445033,0.000000,0.000000,711.445033,0.000000,4377.631241,0.000000
121,20:00-20:10,1.351300,4282.224500,0.000000,713.704083,0.000000,713.704083,0.000000,0.000000,713.704083,0.000000,3584.626704,0.000000
122,20:10-20:20,1.340000,4291.704900,0.000000,715.284150,0.000000,715.284150,0.000000,0.000000,715.284150,0.000000,2789.866537,0.000000
123,20:20-20:30,1.348900,4291.361100,0.000000,715.226850,0.000000,715.226850,0.000000,0.000000,715.226850,0.000000,1995.170037,0.000000
124,20:30-20:40,1.395200,4293.918200,0.000000,715.653033,0.000000,715.653033,0.000000,0.000000,715.653033,0.000000,1200.000000,0.000000
125,20:40-20:50,1.222600,4295.213500,0.000000,715.868917,0.000000,715.868917,715.868917,0.000000,0.000000,0.000000,1200.000000,875.221338
126,20:50-21:00,0.933200,4302.030700,0.000000,717.005117,0.000000,717.005117,717.005117,0.000000,0.000000,0.000000,1200.000000,669.109175
127,21:00-21:10,0.906800,4320.961800,0.000000,720.160300,0.000000,720.160300,720.160300,0.000000,0.000000,0.000000,1200.000000,653.041360
128,21:10-21:20,0.937100,4302.329200,0.000000,717.054867,0.000000,717.054867,717.054867,0.000000,0.000000,0.000000,1200.000000,671.952116
129,21:20-21:30,0.937100,4322.675800,0.000000,720.445967,0.000000,720.445967,720.445967,0.000000,0.000000,0.000000,1200.000000,675.129915
130,21:30-21:40,0.987100,4428.808300,0.000000,738.134717,0.000000,738.134717,738.134717,0.000000,0.000000,0.000000,1200.000000,728.612779
131,21:40-21:50,0.776400,4030.161400,0.000000,671.693567,0.000000,671.693567,671.693567,0.000000,0.000000,0.000000,1200.000000,521.502885
132,21:50-22:00,0.420900,3362.741900,0.000000,560.456983,0.000000,560.456983,1393.790317,833.333333,0.000000,0.000000,1950.000000,586.646344
133,22:00-22:10,0.385900,3309.393400,0.000000,551.565567,0.000000,551.565567,1384.898900,833.333333,0.000000,0.000000,2700.000000,534.432486
134,22:10-22:20,0.436800,3412.956300,0.000000,568.826050,0.000000,568.826050,568.826050,0.000000,0.000000,0.000000,2700.000000,248.463219
135,22:20-22:30,0.419800,3381.931300,0.000000,563.655217,0.000000,563.655217,1396.988550,833.333333,0.000000,0.000000,3450.000000,586.455793
136,22:30-22:40,0.418600,3386.559200,0.000000,564.426533,0.000000,564.426533,1397.759867,833.333333,0.000000,0.000000,4200.000000,585.102280
137,22:40-22:50,0.424100,3400.484600,0.000000,566.747433,0.000000,566.747433,566.747433,0.000000,0.000000,0.000000,4200.000000,240.357586
138,22:50-23:00,0.423700,3399.242600,0.000000,566.540433,0.000000,566.540433,1399.873767,833.333333,0.000000,0.000000,4950.000000,593.126515
139,23:00-23:10,0.424800,3406.980900,0.000000,567.830150,0.000000,567.830150,567.830150,0.000000,0.000000,0.000000,4950.000000,241.214248
140,23:10-23:20,0.424000,3416.151800,0.000000,569.358633,0.000000,569.358633,902.691967,333.333333,0.000000,0.000000,5250.000000,382.741394
141,23:20-23:30,0.422000,3421.981100,0.000000,570.330183,0.000000,570.330183,1403.663517,833.333333,0.000000,0.000000,6000.000000,592.346004
142,23:30-23:40,0.424000,3429.692300,0.000000,571.615383,0.000000,571.615383,571.615383,0.000000,0.000000,0.000000,6000.000000,242.364923
143,23:40-23:50,0.427100,3439.061000,0.000000,573.176833,0.000000,573.176833,573.176833,0.000000,0.000000,0.000000,6000.000000,244.803826
144,23:50-0:00+1,0.427600,3444.725900,0.000000,574.120983,0.000000,574.120983,574.120983,0.000000,0.000000,0.000000,6000.000000,245.494132
